chr	center_boundary	ULB_mean_IS
18	18600000	0.05419247124411355
18	18720000	-0.8118049762788049
18	18940000	0.5225010599166067
18	19180000	0.47506387338069667
18	19360000	0.30805739022173656
18	19520000	-0.15970111169031
18	19720000	0.21788259635795018
18	19920000	-0.27249107224065555
18	20040000	-0.8461421403644905
18	20160000	-0.2103482054516136
18	20260000	0.010762033747464358
18	20360000	0.5319023337065965
18	20520000	0.22473884743978134
18	20640000	-0.6327349760861908
18	20740000	-0.4748495792678746
18	20920000	-0.9416348400876625
18	21160000	0.007819474531269239
18	21340000	0.09935602062682121
18	21460000	0.08984712631742242
18	21580000	0.16465050447852805
18	21780000	-0.15562774910566887
18	21940000	0.08123330364422211
18	22140000	0.13825825102689274
18	22260000	0.050995111642408504
18	22420000	0.09091551215093412
18	22580000	0.12707025945388342
18	22820000	-0.5679829224788762
18	22980000	-0.3683013450938661
18	23420000	-0.30294865479998295
18	23540000	-0.5807232757888521
18	23920000	-1.1086765306497668
18	24060000	-0.4519448612116626
18	24160000	-0.20155551399927504
18	24500000	0.09933128584336781
18	24620000	-0.33583090868843263
18	24940000	-0.27978934425578456
18	25060000	-0.5452395044325914
18	25420000	-0.4077686975337329
18	25800000	-0.31406860442505075
18	25980000	-0.05827673708155321
18	26140000	-0.798571857097607
18	26280000	-0.34408409810116086
18	26820000	-0.014774726456728643
18	27160000	0.36543835797570917
18	27380000	0.10867802684146416
18	27480000	0.16103116192794537
18	27620000	-0.011806996992644767
18	28060000	-0.7368179424210223
18	28200000	0.01630054470734503
18	28340000	0.5272383326083653
18	28640000	-0.06694952402269512
18	28880000	-0.8194072585433498
18	29040000	-0.7916392883372234
18	29380000	-0.3390401837752317
18	29600000	0.0849765280083727
18	29900000	-0.8185855774733026
18	30020000	-1.27132169458435
18	30180000	-0.32487760630875834
18	30340000	0.004289527370049065
18	30560000	0.41517360313877777
18	30680000	0.13717773547199583
18	30840000	-0.2942907724835349
18	31220000	-0.43419289770307
18	31340000	-0.20006783971655592
18	31580000	0.24746272280208834
18	31760000	0.10891597881183927
18	31960000	-0.9780512714606768
18	32100000	-0.9237182620220552
18	32200000	-0.6070832041200931
18	32360000	-0.2598138345829565
18	32500000	0.6394920959570699
18	32740000	0.18268736832582663
18	32980000	-0.09949655814335547
18	33180000	-1.4131986258139257
18	33340000	-0.03394508536716142
18	33600000	0.4811806513991499
18	33720000	-0.5698670089205581
18	33840000	-1.113819921091556
18	33940000	-0.6162250492269122
18	34040000	-0.3133111108685743
18	34500000	-0.16100742100678783
18	34700000	0.12274534347818024
18	34920000	0.06254366118125956
18	35100000	-0.06105593417046997
18	35200000	-0.022717950526529283
18	35360000	0.13742104258757
18	35580000	0.08778116938514878
18	35700000	0.013144354604185756
18	35820000	0.06674301890647776
18	36000000	0.09170326447092743
18	36140000	-0.24992200012319335
18	36440000	-0.3061648506111602
18	36560000	-1.1165606408441058
18	36660000	-0.8938723339118098
18	36760000	0.18034687151877324
18	37020000	-0.1777428487650361
18	37220000	-0.0006468161540879617
18	37340000	0.18042919717290615
18	37580000	-0.6832381577505439
18	37700000	-1.1606596039747934
18	37800000	-0.9505682527251693
18	37960000	0.6571545823048605
18	38080000	0.2652986973585335
18	38180000	0.283814708188849
18	38320000	-1.3231332918919159
18	38760000	-0.7282372196744976
18	39080000	0.1274150607321867
18	39320000	-0.5170751315211816
18	39640000	-0.18432571107635398
18	39820000	0.4486980014147825
18	40200000	-0.13128580365792894
18	40360000	-1.2493756998248116
18	40460000	-0.3176336927684316
18	40760000	-0.9043472775771036
18	41000000	-0.2818905708951864
18	41100000	0.12319480212248553
18	41300000	0.1804346707697511
18	41420000	-0.39762335329052667
18	41520000	-0.2186905620316366
18	41760000	0.040799466193501714
18	41880000	-0.6540100147488728
18	42040000	-0.205451487600008
18	42200000	-0.39933415443342574
18	42340000	-0.624096985650103
18	42540000	0.48475794043853476
18	42660000	0.2543200337412334
18	42800000	-0.2578980155850822
18	42920000	-0.5104480547857896
18	43140000	-0.210024393108353
18	43260000	-0.10319721872370313
18	43580000	0.029466340799794776
18	43780000	-0.5203251285549481
18	43960000	0.6809537681464644
18	44140000	0.5542829287303307
18	44260000	-0.0935604940256352
18	44380000	-0.38787837007798315
18	44580000	-0.6006860868434061
18	44740000	0.16804111741814365
18	45040000	-0.08477470743071329
18	45360000	-0.9231944549749985
18	45660000	0.27901583181021994
18	45780000	-0.1843045042067464
18	46060000	-0.14150457577226025
18	46300000	0.22321811572100267
18	46480000	-0.9861299426777873
18	46620000	-0.07205781810459141
18	46740000	0.05818954102805893
18	46920000	0.10128493619778293
18	47100000	-0.9827511831671027
18	47200000	-0.3474910754173044
18	47520000	-0.710481082219506
18	47620000	-0.28783014746366914
18	47720000	0.19896001573824584
18	47840000	0.2641102637715328
18	47960000	0.012504823439739979
18	48080000	0.11572191400269227
18	48240000	-0.43639177796886486
18	48360000	-0.9628509755805771
18	48460000	-0.42133938266861676
18	48820000	-0.3436341754587573
18	49200000	-0.8707391191494338
18	49440000	0.5188607844652741
18	49600000	0.1719116929340445
18	49700000	0.2672286317074961
18	50060000	-0.7357441999734219
18	50240000	-0.8909090448791684
18	50360000	-1.0705965376263693
18	50480000	0.012030722892010202
18	50580000	0.6527729863074204
18	50760000	-0.004221510394717651
18	50960000	0.2019343990430397
18	51160000	-0.6916324766158105
18	51420000	-0.34106168959524
18	51520000	-0.2233464914180954
18	51680000	0.15083632810985803
18	51800000	-0.5848172264205134
18	51920000	-1.2988565913811956
18	52060000	-0.10049530187363949
18	52260000	0.5622092240277544
18	52380000	0.3791310390065236
18	52560000	0.18385119935354635
18	52700000	-0.8584378394730484
18	52880000	-0.5868083047532162
18	53000000	0.08117043868823506
18	53220000	0.3452766639929157
18	53400000	0.25637916382682396
18	53540000	-0.034562702549322005
18	53720000	0.07740526750374681
18	53840000	0.15335795408304256
18	54000000	0.4395234623755926
18	54120000	-0.11708493342373204
18	54240000	-1.0784391218259246
18	54440000	0.021012764202988102
18	54680000	-0.7949673340081387
18	54780000	-0.25596805769111014
18	54880000	0.2756779890197164
18	55020000	0.45233624045736215
18	55160000	0.24107299112222222
18	55280000	-0.0690206312920781
18	55420000	-0.4989698428375269
18	55520000	-0.30690485825981323
18	55700000	-0.371355167319283
